clean_company;assignee_org;grant_doc_num;invention_title;appl_date;grant_date;time_elapsed;main_class;main_class_title;num_refs;assignee_state;assignee_country;num_applicants;claims
jiangmen city xinhui henglong plastic;['Jiangmen City Xinhui Henglong Plastic Ltd.'];D0651860;Insulating box for household use;2011-03-03 00:00:00;2012-01-10 00:00:00;313 days 00:00:00.000000000;D 7605;Equipment for preparing or serving food or drink not elsewhere specified;8;['None'];['CN'];1;  The ornamental design for an insulating box for household use, as shown.   
nature blinds;['Nature Blinds, LLC'];D0651861;Cooler;2011-04-22 00:00:00;2012-01-10 00:00:00;263 days 00:00:00.000000000;D 7606;Equipment for preparing or serving food or drink not elsewhere specified;7;['TX'];['US'];2;  The ornamental design for the cooler, as shown.   
hutzler manufacturing;['Hutzler Manufacturing Co., Inc.'];D0651863;Lemon lime saver;2010-07-27 00:00:00;2012-01-10 00:00:00;532 days 00:00:00.000000000;D 7628;Equipment for preparing or serving food or drink not elsewhere specified;9;['CT'];['US'];2;  The ornamental design for a lemon lime saver, as shown and described.   
snapware;['Snapware Corporation'];D0651865;Bowl;2011-03-05 00:00:00;2012-01-10 00:00:00;311 days 00:00:00.000000000;D 7630;Equipment for preparing or serving food or drink not elsewhere specified;15;['CA'];['US'];1;  The ornamental design for bowls, as shown and described.   
snapware;['Snapware Corporation'];D0651866;Bowl;2011-04-22 00:00:00;2012-01-10 00:00:00;263 days 00:00:00.000000000;D 7630;Equipment for preparing or serving food or drink not elsewhere specified;7;['CA'];['US'];1;  The ornamental design for a bowl, as shown and described.   
bibjib;['BibJib, Inc.'];D0651867;Napkin holder;2011-06-30 00:00:00;2012-01-10 00:00:00;194 days 00:00:00.000000000;D 7633;Equipment for preparing or serving food or drink not elsewhere specified;4;['LA'];['US'];4;  The ornamental design for a napkin holder, as shown and described.   
dkb household uk;['DKB Household UK Limited'];D0651868;Food slicer;2011-01-03 00:00:00;2012-01-10 00:00:00;372 days 00:00:00.000000000;D 7673;Equipment for preparing or serving food or drink not elsewhere specified;12;['None'];['GB'];1;  The ornamental design for a food slicer, as shown and described.   
q bonding + branding + strategy global;['Q Bonding + Branding + Strategy Global LLC'];D0651869;Kitchen device;2010-07-09 00:00:00;2012-01-10 00:00:00;550 days 00:00:00.000000000;D 7682;Equipment for preparing or serving food or drink not elsewhere specified;7;['CO'];['US'];1;  The ornamental design for a kitchen device, as shown and described.   
q bonding + branding + strategy global;['Q Bonding + Branding + Strategy Global, LLC'];D0651870;Kitchen device;2010-07-09 00:00:00;2012-01-10 00:00:00;550 days 00:00:00.000000000;D 7692;Equipment for preparing or serving food or drink not elsewhere specified;4;['CO'];['US'];1;  The ornamental design for kitchen device, as shown and described.   
columbia insurance;['Columbia Insurance Company'];D0651871;Manual food processor;2011-01-07 00:00:00;2012-01-10 00:00:00;368 days 00:00:00.000000000;D 7693;Equipment for preparing or serving food or drink not elsewhere specified;35;['NE'];['US'];4;  The ornamental design for the manual food processor, as shown and described.   
handi-craft;['Handi-Craft Company'];D0651872;Combined food storage container system with food storage containers;2010-10-08 00:00:00;2012-01-10 00:00:00;459 days 00:00:00.000000000;D 7701;Equipment for preparing or serving food or drink not elsewhere specified;17;['MO'];['US'];3;  The ornamental design for combined food storage container system with food storage containers, as shown and described.   
stephania holdings;['Stephania Holdings, Inc.'];D0651873;Dual cartridge lubricator;2010-08-30 00:00:00;2012-01-10 00:00:00;498 days 00:00:00.000000000;D 8 141;Tools and hardware;39;['None'];['CA'];2;  The ornamental design for a dual cartridge lubricator device, as shown and described.   
techtronic power tools technology;['Techtronic Power Tools Technology Limited'];D0651874;Universal interface for accessory blades;2010-12-14 00:00:00;2012-01-10 00:00:00;392 days 00:00:00.000000000;D 8 20;Tools and hardware;152;['None'];['VG'];2;  The ornamental design for a universal interface for accessory blades, as shown and described.   
techtronic power tools technology;['Techtronic Power Tools Technology Limited'];D0651875;Universal interface for accessory blades;2010-12-14 00:00:00;2012-01-10 00:00:00;392 days 00:00:00.000000000;D 8 20;Tools and hardware;152;['None'];['VG'];2;  The ornamental design for a universal interface for accessory blades, as shown and described.   
techtronic power tools technology;['Techtronic Power Tools Technology Limited'];D0651876;Universal interface for accessory blades;2010-12-14 00:00:00;2012-01-10 00:00:00;392 days 00:00:00.000000000;D 8 20;Tools and hardware;152;['None'];['VG'];2;  The ornamental design for a universal interface for accessory blades, as shown and described.   
techtronic power tools technology;['Techtronic Power Tools Technology Limited'];D0651877;Universal interface for accessory blades;2010-12-14 00:00:00;2012-01-10 00:00:00;392 days 00:00:00.000000000;D 8 20;Tools and hardware;152;['None'];['VG'];2;  The ornamental design for a universal interface for accessory blades, as shown and described.   
techtronic power tools technology;['Techtronic Power Tools Technology Limited'];D0651878;Universal interface for accessory blades;2010-12-14 00:00:00;2012-01-10 00:00:00;392 days 00:00:00.000000000;D 8 20;Tools and hardware;152;['None'];['VG'];2;  The ornamental design for a universal interface for accessory blades, as shown and described.   
ibt holdings;['IBT Holdings, LLC'];D0651879;Tool handle;2011-03-24 00:00:00;2012-01-10 00:00:00;292 days 00:00:00.000000000;D 8 25;Tools and hardware;10;['FL'];['US'];2;  The ornamental design for a tool handle, as shown and described.   
ibt holdings;['IBT Holdings, LLC'];D0651880;Wrench handle;2011-03-24 00:00:00;2012-01-10 00:00:00;292 days 00:00:00.000000000;D 8 25;Tools and hardware;10;['FL'];['US'];2;  The ornamental design for a wrench handle, as shown and described.   
bo sports;['Bo Sports, LLC'];D0651881;Gripper tool;2011-05-06 00:00:00;2012-01-10 00:00:00;249 days 00:00:00.000000000;D 8 52;Tools and hardware;27;['AR'];['US'];1;  The ornamental design for a gripper tool, as shown.   
fenghua weilder electric appliance;['Fenghua Weilder Electric Appliance Co., Ltd.'];D0651882;Electric circular saw;2011-05-23 00:00:00;2012-01-10 00:00:00;232 days 00:00:00.000000000;D 8 66;Tools and hardware;12;['None'];['CN'];2;  The ornamental design for a electric circular saw, as shown and described.   
tj utveckling;['TJ Utveckling AB'];D0651884;Grinding jig;2011-04-22 00:00:00;2012-01-10 00:00:00;263 days 00:00:00.000000000;D 8 71;Tools and hardware;1;['None'];['SE'];2;  The ornamental design for a grinding jig, as shown and described.   
rockler companies;['Rockler Companies, Inc.'];D0651885;Pocket hole clamp;2009-07-17 00:00:00;2012-01-10 00:00:00;907 days 00:00:00.000000000;D 8 72;Tools and hardware;16;['MN'];['US'];1;  The ornamental design for a pocket hole clamp, as shown and described.   
edgecraft;['Edgecraft Corporation'];D0651887;Two stage manual knife sharpener;2011-02-21 00:00:00;2012-01-10 00:00:00;323 days 00:00:00.000000000;D 8 93;Tools and hardware;31;['PA'];['US'];2;  The ornamental design for a two stage manual knife sharpener, as shown and described.   
honda motor;['Honda Motor Co., Ltd.'];D0651888;Vehicle interior handle;2010-09-21 00:00:00;2012-01-10 00:00:00;476 days 00:00:00.000000000;D 8301;Tools and hardware;9;['None'];['JP'];2;  The ornamental design for a vehicle interior handle, as shown and described.   
acco brands usa;['Acco Brands USA LLC'];D0651889;Security apparatus;2011-04-19 00:00:00;2012-01-10 00:00:00;266 days 00:00:00.000000000;D 8330;Tools and hardware;573;['IL'];['US'];6;  The ornamental design for a security apparatus, as shown and described.   
powers products iii;['Powers Products III, LLC'];D0651890;Wall anchor;2010-05-04 00:00:00;2012-01-10 00:00:00;616 days 00:00:00.000000000;D 8385;Tools and hardware;18;['NY'];['US'];2;  We claim, the ornamental design for a wall anchor, as shown and described.   
jab distributors;['Jab Distributors, LLC'];D0651891;Bed linen book design package;2010-11-03 00:00:00;2012-01-10 00:00:00;433 days 00:00:00.000000000;D 9421;Packages and containers for goods;12;['IL'];['US'];1;  The ornamental design for a bed linen book design package, as shown and described.   
anchor packaging;['Anchor Packaging, Inc.'];D0651892;Side dish container comprising a lid and a base;2010-07-14 00:00:00;2012-01-10 00:00:00;545 days 00:00:00.000000000;D 9429;Packages and containers for goods;32;['MO'];['US'];1;  The ornamental design for a side dish container comprising a lid and a base, as shown and described.   
anchor packaging;['Anchor Packaging, Inc.'];D0651893;Side dish container comprising a lid and a base;2010-07-14 00:00:00;2012-01-10 00:00:00;545 days 00:00:00.000000000;D 9429;Packages and containers for goods;32;['MO'];['US'];1;  The ornamental design for a side dish container comprising a lid and a base, as shown and described.   
anchor packaging;['Anchor Packaging, Inc.'];D0651894;Side dish container comprising a lid and a base;2010-07-14 00:00:00;2012-01-10 00:00:00;545 days 00:00:00.000000000;D 9429;Packages and containers for goods;32;['MO'];['US'];5;  The ornamental design for a side dish container comprising a lid and a base, as shown and described.   
anchor packaging;['Anchor Packaging, Inc.'];D0651895;Side dish container comprising a lid and a base;2010-07-14 00:00:00;2012-01-10 00:00:00;545 days 00:00:00.000000000;D 9429;Packages and containers for goods;32;['MO'];['US'];4;  The ornamental design for a side dish container comprising a lid and a base, as shown and described.   
procter & gamble;['The Procter & Gamble Company'];D0651896;Package;2011-09-14 00:00:00;2012-01-10 00:00:00;118 days 00:00:00.000000000;D 9434;Packages and containers for goods;75;['OH'];['US'];2;  The ornamental design for a package, as shown and described.   
tri state distribution;['Tri State Distribution, Inc.'];D0651897;Pharmaceutical cap;2010-03-19 00:00:00;2012-01-10 00:00:00;662 days 00:00:00.000000000;D 9435;Packages and containers for goods;12;['TN'];['US'];2;  The ornamental design for a pharmaceutical cap, as shown and described.   
procter & gamble;['The Procter & Gamble Company'];D0651899;Container for cleansing wipes;2010-10-05 00:00:00;2012-01-10 00:00:00;462 days 00:00:00.000000000;D 9435;Packages and containers for goods;37;['OH'];['US'];1;  The ornamental design for a container for cleansing wipes, as shown and described.   
procter & gamble;['The Procter & Gamble Company'];D0651900;Cosmetic container;2011-04-01 00:00:00;2012-01-10 00:00:00;284 days 00:00:00.000000000;D 9504;Packages and containers for goods;9;['OH'];['US'];2;  The ornamental design for cosmetic container, as shown and described.   
plastipak packaging;['Plastipak Packaging, Inc.'];D0651901;Container base;2010-02-08 00:00:00;2012-01-10 00:00:00;701 days 00:00:00.000000000;D 9516;Packages and containers for goods;28;['MI'];['US'];2;  The ornamental design for a container base, as shown and described.   
revlon consumer products;['Revlon Consumer Products Corporation'];D0651902;Cosmetic bottle;2010-06-29 00:00:00;2012-01-10 00:00:00;560 days 00:00:00.000000000;D 9516;Packages and containers for goods;22;['NY'];['US'];2;  The ornamental design for a cosmetic bottle, as shown and described.   
kind group;['The Kind Group'];D0651903;Container;2010-08-13 00:00:00;2012-01-10 00:00:00;515 days 00:00:00.000000000;D 9521;Packages and containers for goods;21;['NY'];['US'];1;  The ornamental design for a container, substantially as shown and described.   
suncor energy;['Suncor Energy, Inc.'];D0651904;Container;2010-04-02 00:00:00;2012-01-10 00:00:00;648 days 00:00:00.000000000;D 9526;Packages and containers for goods;23;['None'];['CA'];3;  The ornamental design for a container, as shown and described.   
societe des produits nestle;['Societe des Produits Nestle S.A.'];D0651905;Bottle;2011-02-04 00:00:00;2012-01-10 00:00:00;340 days 00:00:00.000000000;D 9538;Packages and containers for goods;8;['None'];['CH'];1;  The ornamental design for a bottle, as shown and described.   
stokely-van camp;['Stokely-Van Camp, Inc.'];D0651906;Bottle;2011-08-11 00:00:00;2012-01-10 00:00:00;152 days 00:00:00.000000000;D 9540;Packages and containers for goods;83;['IL'];['US'];5;  The ornamental design for a bottle, as shown and described.   
clorox;['The Clorox Company'];D0651907;Bottle;2010-03-31 00:00:00;2012-01-10 00:00:00;650 days 00:00:00.000000000;D 9543;Packages and containers for goods;19;['CA'];['US'];3;  The ornamental design for a bottle, as shown and described.   
pur water purification products;['PUR Water Purification Products, Inc.'];D0651908;Package with surface ornamentation;2010-08-02 00:00:00;2012-01-10 00:00:00;526 days 00:00:00.000000000;D 9600;Packages and containers for goods;44;['OH'];['US'];2;  The ornamental design of a package with surface ornamentation, as shown and described.   
pur water purification products;['PUR Water Purification Products, Inc.'];D0651909;Package with surface ornamentation;2010-08-02 00:00:00;2012-01-10 00:00:00;526 days 00:00:00.000000000;D 9600;Packages and containers for goods;44;['OH'];['US'];2;  The ornamental design of a package with surface ornamentation, as shown and described.   
pur water purification products;['PUR Water Purification Products, Inc.'];D0651910;Package with surface ornamentation;2010-08-02 00:00:00;2012-01-10 00:00:00;526 days 00:00:00.000000000;D 9600;Packages and containers for goods;45;['OH'];['US'];2;  The ornamental design of a package with surface ornamentation, as shown and described.   
pur water purification products;['PUR Water Purification Products, Inc.'];D0651911;Package with surface ornamentation;2010-08-02 00:00:00;2012-01-10 00:00:00;526 days 00:00:00.000000000;D 9600;Packages and containers for goods;44;['OH'];['US'];2;  The ornamental design of a package with surface ornamentation, as shown and described.   
pur water purification products;['PUR Water Purification Products, Inc.'];D0651912;Package with surface ornamentation;2010-08-02 00:00:00;2012-01-10 00:00:00;526 days 00:00:00.000000000;D 9600;Packages and containers for goods;44;['OH'];['US'];2;  The ornamental design of a package with surface ornamentation, as shown and described.   
pur water purification products;['PUR Water Purification Products, Inc.'];D0651913;Package with surface ornamentation;2010-08-02 00:00:00;2012-01-10 00:00:00;526 days 00:00:00.000000000;D 9600;Packages and containers for goods;44;['OH'];['US'];2;  The ornamental design of a package with surface ornamentation, as shown and described.   
pur water purification products;['PUR Water Purification Products, Inc.'];D0651914;Package with surface ornamentation;2010-08-02 00:00:00;2012-01-10 00:00:00;526 days 00:00:00.000000000;D 9600;Packages and containers for goods;42;['OH'];['US'];2;  The ornamental design of a package with surface ornamentation for a package, as shown and described.   
pur water purification products;['PUR Water Purification Products, Inc.'];D0651915;Package with surface ornamentation;2010-08-02 00:00:00;2012-01-10 00:00:00;526 days 00:00:00.000000000;D 9600;Packages and containers for goods;45;['OH'];['US'];2;  The ornamental design of a package with surface ornamentation, as shown and described.   
hisamitsu pharmaceutical;['Hisamitsu Pharmaceutical Co., Inc.'];D0651916;Package;2011-01-14 00:00:00;2012-01-10 00:00:00;361 days 00:00:00.000000000;D 9624;Packages and containers for goods;9;['None'];['JP'];3;  The ornamental design for a package, as shown and described.   
procter & gamble;['The Procter & Gamble Company'];D0651917;Package;2011-09-13 00:00:00;2012-01-10 00:00:00;119 days 00:00:00.000000000;D 9651;Packages and containers for goods;77;['OH'];['US'];2;  The ornamental design for a package, as shown and described.   
procter & gamble;['The Procter & Gamble Company'];D0651918;Dispensing bottle;2010-02-08 00:00:00;2012-01-10 00:00:00;701 days 00:00:00.000000000;D 9691;Packages and containers for goods;52;['OH'];['US'];4;  The ornamental design for a dispensing bottle, as shown and described.   
foxsemicon integrated technology;['Foxsemicon Integrated Technology, Inc'];D0651919;Envelope for LED light tube;2010-04-29 00:00:00;2012-01-10 00:00:00;621 days 00:00:00.000000000;D 9711;Packages and containers for goods;15;['None'];['TW'];3;  The ornamental design for an envelope for LED light tube, as shown and described.   
foxsemicon integrated technology;['Foxsemicon Integrated Technology, Inc.'];D0651920;Envelope for LED light tube;2010-04-30 00:00:00;2012-01-10 00:00:00;620 days 00:00:00.000000000;D 9711;Packages and containers for goods;15;['None'];['TW'];3;  The ornamental design for an envelope for LED light tube, as shown and described.   
